Orthogroup	adv	ath	aza	azd	azi	Total
OG0000399	0	22	0	0	0	22
OG0000400	0	22	0	0	0	22
OG0000401	7	0	11	1	2	21
OG0000402	1	4	6	4	6	21
OG0000403	1	7	6	4	3	21
OG0000404	0	21	0	0	0	21
OG0000405	0	21	0	0	0	21
OG0000406	0	21	0	0	0	21
OG0000407	0	21	0	0	0	21
OG0000408	0	21	0	0	0	21
OG0000409	0	21	0	0	0	21
OG0000410	0	21	0	0	0	21
OG0000411	0	21	0	0	0	21
OG0000412	0	21	0	0	0	21
OG0000413	0	21	0	0	0	21
OG0000414	0	21	0	0	0	21
OG0000415	0	21	0	0	0	21
OG0000416	0	21	0	0	0	21
OG0000417	0	21	0	0	0	21
OG0000418	0	21	0	0	0	21
OG0000419	0	21	0	0	0	21
OG0000420	0	21	0	0	0	21
OG0000421	0	21	0	0	0	21
OG0000422	0	21	0	0	0	21
OG0000423	0	21	0	0	0	21
OG0000424	0	21	0	0	0	21
OG0000425	0	21	0	0	0	21
OG0000426	0	21	0	0	0	21
OG0000427	0	21	0	0	0	21
OG0000428	0	21	0	0	0	21
OG0000429	0	21	0	0	0	21
OG0000430	0	21	0	0	0	21
OG0000431	0	21	0	0	0	21
OG0000432	0	21	0	0	0	21
OG0000433	0	21	0	0	0	21
OG0000434	0	21	0	0	0	21
OG0000435	0	21	0	0	0	21
OG0000436	0	21	0	0	0	21
OG0000437	0	21	0	0	0	21
